comments,contain_gender_bias,bias,hate,english
(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....,FALSE,others,hate,"(How the current hotel owner feels) Ah 18 I got hit by lightning out of a dry sky and the hotel looked like it was ruined, but someone keeps praising me...."
....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ,FALSE,none,none,....the representative of Korean beauty...so pretty and beautiful...I didn't know the sadness behind that appearance.
"...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...",FALSE,none,hate,...Naughty people...People who enjoyed other people's pain...now they should be punished...so that we can have a fair society...reap what you sow...
"1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데",FALSE,none,none,"Episodes 1 and 2 were awkward, but after episodes 3 and 4, it got really fun."
1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노,TRUE,gender,hate,"1. Scratching a person’s face with a fingernail is murder of character, and 2. Is the video a hidden camera? I have no idea about the Megalians."
10+8 진짜 이승기랑 비교된다,FALSE,none,none,10+8 Really compared to Lee Seung Gi
"100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.",TRUE,gender,hate,"Within 100 years, after a major sexual war between men and women, polygamy, prohibition of women's political participation, and elimination of women's voting rights will become common cultures around the world. The hen cries so much."
10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,FALSE,none,none,"In 10 years, Yoon Seo-in will definitely be re-evaluated. There is nothing wrong with what you say"
10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐,FALSE,none,offensive,"It was a fun show for the first time in 10 years, but why did it have to be abolished because of you?"
10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ,FALSE,none,offensive,"I've been a BTS fan for 10 years, and although it may not be as successful as our BTS, I want to become a subordinate of BTS, so I remember the name."
10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..,FALSE,others,none,"They must be over 10 years apart, but are they a married couple? I'm curious about what it's about..."
12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다,FALSE,none,none,"December or January are the busiest months for weddings, but May is the off-season because it is summer."
13살 차이면 요즘 세상에 놀랄일도 아니네요,FALSE,none,none,A 13-year difference is no surprise in today's world.
1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ,FALSE,none,offensive,It hurts so much that I wonder how unfair it must have been to get ripped off of 140 billion won~~~~ㅋㅋㅋ
15년생인 울아들은 유모차 안타는데,FALSE,none,none,"My son, who was born in 2015, does not ride in a stroller."
15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐,FALSE,others,offensive,"If there is a 15 year age difference, if you had an accident when you were young, you will be punished haha. Jeon Hyunmoo is talented. I guess women like Jeon Hyunmoo’s style."
166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄,FALSE,none,none,"57.4 for 166cm I don't need to diet, but I will lose more for my health. Everyone looks thinner."
17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,FALSE,others,none,"27 years, not 17, was really too much. I can't understand how this could be possible with love alone."
180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함,FALSE,none,none,"I'm not tall enough to be over 180, but I'm suspicious of guys over 78 to 79,180. I don't have any doubts, but my proportions are good and I look tall."
180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?,TRUE,gender,hate,"Hobbit men under 180cm shouldn't get married. If you don't have money, don't date. What's the fault of your descendants who will suffer from receiving the Hobbit genes?"
18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄,FALSE,none,hate,"If you lose 18 kilos, they will applaud you. If you just eat whatever you want and sleep on TV, you will just gain 18 kilos."
1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,FALSE,none,none,"In 1959, during the Liberal Party era, you entered Harvard Law School and then moved on to Hollywood? You were a great person."
19에서15로 바뀌고 망트리 탄거...,FALSE,none,none,Changed from 19 to 15 and got on a mantle...
1년연예 ㅋㅋ 2년봅니다....,FALSE,none,offensive,1 year of entertainment haha ​​2 years....
1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나,FALSE,none,none,"I saw the two of them drinking at a bar in Yeonnam-dong about a year ago, but it's only now that the article has surfaced."
1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다,FALSE,none,none,"2 Days & 1 Night is boring and now all I can think about is its immorality. Please abolish it. From the parents’ perspective, it is abolition fee."
1보다 재미없어요 진짜 보다 나올뻔,FALSE,none,offensive,It's less fun than 1. I almost came out worse than the real one.
1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ,FALSE,none,none,I only watched part 2 because part 1 was eye-watering. It was so funny haha.
1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️,FALSE,none,none,Even 100 million won is not enough ☝️☝️☝️☝️☝️☝️☝️
"1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯",FALSE,none,none,"Rather than eating one meal a day, it seems better for your health to eat only breakfast and lunch and keep an empty stomach for dinner."
1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함,FALSE,none,none,"I can't eat one meal a day, hehe. Han Sang-jin, you're good at acting."
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,FALSE,none,none,"In the first episode, I saw him stitching up his own body without anesthesia in prison and only eating cold food instead of hot coffee. I said it was pain-free and numb."
2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ,FALSE,none,none,"The viewership rating isn't even 2% haha. I can't even act, but I can't go to North Korea because of this? lol"
"2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은",TRUE,gender,hate,Are all the poor women in their 20s and 30s gathered for this article? LOL This is why women should not be given the right to vote. You girls should just live with Mnet advance voting.
2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ,FALSE,none,none,"I saw it in the summer of 2002, and I was driving a sports car with Seo Ji-young... It was 18 years ago haha."
2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..,FALSE,others,hate,"Look at Jeong So-young, a researcher wearing a white gown in The Man in the Vineyard in 2006~!! Honestly, she was the prettiest and most graceful of all Korean actresses~!!! People who eat food will talk about Yoona and IU without knowing what's cool, but..."
"200억대 쳐바르고 홍보를 그렇게나했는데 시청률 5.0%가 자랑이라고 올렸냐... 그리고, 남녀 주인공이 비주얼이 너무 심각하고 남녀주연들 사극 말투가 더빙한것마냥 성우스러워서 시청률이 그 모양 그 꼴이잖아...",FALSE,others,offensive,"They spent 20 billion won and promoted it so much, but did they post the 5.0% viewership rating as bragging? Also, the visuals of the male and female leads are too serious, and the way they speak is like a voice actor, as if it was a dubbed historical drama, so the viewership ratings are like that..."
2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~,FALSE,none,offensive,"It's surprising that I didn't delete KakaoTalk from 2014 and kept it until now. Since I started collecting it, Mr. Jang was blown away."
2016년 사진이래요 ㅋ,FALSE,none,none,It's a photo from 2016 haha
2018년 마마 진정한 승자 화사,FALSE,none,none,"Hwasa, the true winner of Mama 2018"
2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,FALSE,none,none,Do you think 2020 will come? Youngbae hahahaha.
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요,FALSE,none,none,"If I didn't pay 34,700 out of 206,000 dollars, which is barely a down payment, there must be something going on, so I put it in neutral gear."
20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길,FALSE,none,none,20 year relationship is so cool!! I hope you get married now and have a happy family.
20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다,FALSE,none,offensive,"It's been over 20 years. Parents may be upset and feel unfair, but they have to bury it now. So how many people are there who died unfairly? What about the families of the victims of the Hwaseong incident 30 years ago? Back then, they were perpetrators, but today, as time has passed, they can become victims."
20년째 열애중? 너무 길다.,FALSE,others,none,Been in a relationship for 20 years? It's too long.
20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할짓 드럽게없나봐... 죽자고 덤벼드는거봐ㅠㅠ,TRUE,gender,hate,Bosing a male ratio in their 20s in their 20s ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
20대다. 연애 많이 해봐라.,FALSE,others,offensive,I'm in my 20s. Try dating a lot.
20살차?? ㅉㅉ,FALSE,others,offensive,20 years difference?? Tsk tsk
21C에 주술사랑 ...,FALSE,none,none,Shaman love in the 21st century...
24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯,FALSE,others,offensive,I'm 24 years old and I drink alcohol. I think I drank it when I was in high school.
25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다,TRUE,gender,offensive,"25 years ago, when he was very active... Oh Dal-su was probably in his early twenties... I think we had a crush on each other when we were kids... If you look at it like that, it's scary whether there is a person in this world who isn't a sex offender."
25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참,TRUE,gender,none,"25 years ago, Oh Dal-soo was at a time when he was full of energy, so it could be possible. And now, I really don't understand people who talk about what happened 25 years ago. Let's live faithfully to our words."
26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,FALSE,none,none,"It may be difficult to be consistent like Choi Soo-jong in 26, but if you give in and be considerate to each other and live similarly, you will reduce fights in half and make your wife happy."
290억 아니고?,FALSE,none,none,Isn't it 29 billion?
29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ,FALSE,others,hate,"It's crazy how amazing it is that he struggled to postpone his enlistment by doing everything he could until he was 29, and then was forced to get dragged in. Haha."
2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!,TRUE,gender,hate,Woman in her 20s and 30s: (Thump thump thump) Gulp!!!!!!
2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ,FALSE,others,offensive,If we've been together for 2 years... I think we'll even know the locations of moles on each other's bodies haha.
2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요,FALSE,none,offensive,You must be upset that you got stabbed by a bully in less than 2 years...I've been able to feel it enough on social media. Live a new life.
2박2일은 뭐니? 기레기야,FALSE,none,hate,What is 2 days and 2 nights? Jirekiah
2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...,TRUE,gender,offensive,Why do you go to a man's house for the second time? It's not something that should be blamed solely on the man. I hope it's clearly covered...
2천만원짜리 조리원하며고기집 외식하며...참 가지가지 한다ㅋㅋㅋㅋㅋ관심병으로 더아프신거 아닌감??아무튼 건강하다니 다행이네...ㅋㅋㅋ,FALSE,others,offensive,"Working at a 20 million won cooking shop and eating out at a meat restaurant... I do a lot of different things haha. Are you feeling sicker due to attention disease? Anyway, I'm glad you're healthy... haha."
30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ,FALSE,others,offensive,How can you become a public servant after being over 30? It's really disgusting.
30대 아줌마들 남에 집에 감놔라배놔라 ㅋㅋㅋㅋㅋ,TRUE,gender,offensive,"Ladies in their 30s, leave them at someone else’s house lol."
30대 아줌마들;; 고만들 하세요;,TRUE,gender,offensive,Women in their 30s;; Just make it;
30대 여자들은 군대도 안가는데 군대 이야기에 이렇게 관심이 많을까?? 젤 싫어하는 이야기 탑3라면서??,TRUE,gender,offensive,Are women in their 30s so interested in military stories when they don’t even go to the military?? What are the top 3 stories you hate the most??
30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^,TRUE,gender,hate,"Seeing that the ratio of women in their 30s is the highest, I understand why people think Go So-young is pretty ^^ Ladies, I'll tell you this sincerely, but women in their 30s honestly don't look like women at all~^^"
30대여자들 한혜진 빙의해서 악플다는거 진짜 안쓰럽고 역겹다 본인인생이나 잘살기를 젊은여자들 질투하지말고,TRUE,gender,offensive,"It's really sad and disgusting to see women in their 30s pretending to be Han Hye-jin and posting malicious comments. Young women, don't be jealous. Hope you live your own life well."
33살이 청년임? 아저씨아님?,FALSE,others,hate,Is 33 a young person? Aren’t you uncle?
38살 되도록 시집못갔으면 뭔가 문제있는 여자 아닌가?? 건모형 그냥 거르세요...상대할 필요도 없어요...,TRUE,gender,hate,"If she doesn't get married until she's 38, doesn't she have a problem? Just skip the gun model...you don't have to deal with it..."
38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~,FALSE,others,none,I wonder if I wrote it wrong as 38 or 48 haha. She looks so young~~~
39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???,FALSE,none,none,It says he's 39 years old ㅡㅡ Isn't Yang Se-jong in his 20s???
3명중에 최종훈이 제일 잘생겼네요♡,FALSE,none,none,"Of the three, Choi Jong-hoon is the most handsome♡"
"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",FALSE,none,none,You avoided elimination in number 3. Don't use tricks anymore! It's obvious!
3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,FALSE,none,none,"He is a person with such influence that he sold 1.2 billion won worth in 3 days. Why is everyone making fun of me? If you don't know much, you shouldn't speak carelessly."
40-50대로 가야지..할매를 부르면 우야노,TRUE,gender,hate,"I should go to my 40s and 50s... When I call my grandmother, it's Uyano."
