text,target
"Yes indeed. She sort of reminds me of the elder lady that played the part in the movie ""Titanic"" who was telling her story!!! And I wouldn't have wanted to cover who I really am!! I would be proud!!!! WE should be proud of our race no matter what it is!!","Asian, Black, Latinx, Middle Eastern, White"
The trans women reading this tweet right now is beautiful,
"Question: These 4 broads who criticize America, what country did they flee to get here? And now they want to make OUR America like THEIR former HELL HOLE. I don't think so!!!!!!!!!!  Let them explain their GRATITUDE for letting them in OUR country.",Immigrant
It is about time for all illegals to go back to their country of origin and keep our freeway open and prevent heavy traffic.,
For starters bend over the one in pink and kick that ass and pussy to get a taste until she's begging for a dick inside her.,
Sounds like the kinda wholsesome life I'd die for ❤️ never met any black Lesbians before so i guess you're my first ever.,"Black, Lesbian"
Who the fuck is this insignificant simple minded redneck? When he gets a vagina he can decide what he wants to do with it.,White
Fuck off you insufferable retarded faggot.,Gay
"OMG! The EGO's of these young, young, inexperienced women display are remarkable! So self absorbed - so, so proud of the mistakes their constituents all made in giving them a bit of power.  They'll be quite surprised to find that the vast majority of Americans think that these women represent the very WORST of ""modern"" America.  Egos out of control !!",
"Worthless whore, these tits with look nice with bite marks and cum",
9) uhhhh i like being lgbt a lot. i feel proud of what i have done to help others in my community,"Bisexual, Gay, Lesbian"
"Instagram refugees lmao, let's build a wall instead",Immigrant
"@terryelaineh1 @UKLabour Why do 3.8 million #50sWomen not constitute ""The Many"" not the few? Why is Labour not supporting women who've contributed all their working lives, paid for past pensions and NOW still paying, just for being women over 60! #BackTo60 #OneVoice #JudicialReview #CEDAW",
"I said it yesterday, I knew this is about to go down. Mangalore: Police now booked those Hindus who caught Ansari in the act of rap!ng that poor calf under sections 506, 504 (intentional insult with intent to provoke breach of peace), 323 & 153A. Judiciary is the most corrupt. URL",Middle Eastern
White Small Little Invisible Clits Are A Disgrace 🤢 Pay Me For You Having Such a Small Disgraceful Useless Object  Kik GoddesssJayy  #Findom #Sph #Whiteslave #Humiliation #Pindick #Cashslave #Cuck #Cuckold #EbonyDomme,White
Ladies buy a gun learn how to use it effectively and kill these mother fuckers. URL,
"@ghostofthor same energy as the ""YOU DONT LOOK INDIAN STOP LYING ABOUT BEING SOUTH ASIAN"" cc","Asian, Middle Eastern"
"@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!","Disabled, Disabled"
This sub is full of grade A faggots  Comedy fucking Ebola,"Gay, Lesbian"
Progress 👍 LGBT rights in Europe: Some countries 'moving backwards on equality for first time in a decade' | Euronews URL #NewsSuite URL,"Bisexual, Gay, Lesbian"
Joshua Lelo so you have seen all actors from every community and have deducted no one beats Scarlett? Another African with inferiority complex 🤦🏾‍♀️.,Black
He is a racist just like his Father who tried to keep blacks out of his housing Apts back in the day. URL,Black
"No, they only do that to black people",Black
"Many of the families who are being separated at the border and who are being kept in poor conditions did try to cross legally, through legal ports of entry seeking asylum.",Immigrant
Get rid of them and their anchor babies and grand babies. Fucking worthless guinees,
So hot!!! Wish she squirted in my mouth 💦,
"Thank you for posting this! Gives us other ""normal"" women confidence. We all aren't skinny, or shaved, of perky. Doesn't mean we still aren't sexy.",
